SETOR,MÉTRICA,VALOR,UNIDADE,ANO,FONTE,OPORTUNIDADE_QUAYER
Seguros,Too Seguros - Taxa resolução,70.4,%,2025,Reclame Aqui,ALTA
Seguros,Too Seguros - Tempo resposta,4.04,dias,2025,Reclame Aqui,ALTA
Seguros,Imediato Seguros - Tempo resposta,104.83,dias,2025,Reclame Aqui,CRÍTICA
Educação,Portal Educação - Taxa resolução,100,%,2025,Reclame Aqui,MÉDIA
Educação,Portal Educação - Tempo resposta,2.04,dias,2025,Reclame Aqui,MÉDIA
Educação,Educa Mais Brasil - Taxa resolução,92.6,%,2025,Reclame Aqui,MÉDIA
Educação,Educa Mais Brasil - NPS,8.5,pontos,2025,Reclame Aqui,MÉDIA
Educação,Portal Educa - Taxa resolução,90.9,%,2025,Reclame Aqui,MÉDIA
Educação,Portal Educa - Tempo resposta,7.21,dias,2025,Reclame Aqui,MÉDIA
Material Escolar,NPS Material Escolar,74,pontos,2024,Opinion Box,BAIXA
Moda Íntima,NPS Moda Íntima,72,pontos,2024,Opinion Box,BAIXA
Roupas Esportivas,NPS Roupas Esportivas,70,pontos,2024,Opinion Box,BAIXA
Fast Food,NPS Fast Food,47,pontos,2024,Opinion Box,MÉDIA
Turismo,NPS Turismo,41,pontos,2024,Opinion Box,ALTA
Mídia,Taxa retenção,84,%,2025,Shopify,BAIXA
Serviços Profissionais,Taxa retenção,84,%,2025,Shopify,BAIXA
TI,Taxa retenção,81,%,2025,Shopify,BAIXA
Banco Central,Prazo legal resposta,10,dias úteis,2025,BC,CRÍTICA
Anatel,Prazo legal resposta,10,dias corridos,2025,Anatel,CRÍTICA
Consumidor.gov,Prazo resposta,2-7,dias corridos,2025,Gov.br,CRÍTICA
SAC,Prazo lei 11.034,5,dias úteis,2025,Gov.br,CRÍTICA
Reclame Aqui,Prazo resposta médio,28,dias,2025,Reclame Aqui,CRÍTICA
Energisa Acre,Reclamações Acre,593,reclamações,2025,Procon AC,ALTA
Reclamações Totais,Total 200 maiores (2021),5003610,reclamações,2021,Reclame Aqui,CONTEXTO
Classificação,Critério essencial - Clareza,96.8,%,2025,E-Commerce Brasil,CRÍTICA
Classificação,Critério essencial - Conhecimento,96.3,%,2025,E-Commerce Brasil,CRÍTICA
Classificação,Critério essencial - Escuta,95.9,%,2025,E-Commerce Brasil,CRÍTICA
Satisfação,Atendimento supera preço na decisão,100,%,2025,E-Commerce Brasil,CRÍTICA
Frustração,Falta personalização,65,%,2025,Accenture,ALTA
Migração,Taxa de mudança por falta personalização,47,%,2025,Accenture,ALTA
Pesquisa,Consumidores abandonam por 1 experiência ruim,83,%,2026,CX Trends,CRÍTICA
Pesquisa,Preferência por tratamento único,72,%,2025,CX Trends,CRÍTICA
Pesquisa,Experiências personalizadas influenciam compra,68,%,2025,CX Trends,CRÍTICA
Retenção,Taxa retenção seguros,83,%,2025,Shopify,MÉDIA
Resposta tempo,Expectativa - Resposta em 5 minutos,CRITICAL,benchmark,2025,Harvard Business Review,CRÍTICA
WhatsApp,Reclamações por demora resposta,FREQUENTE,padrão,2025,Reclame Aqui,CRÍTICA
